"Churn","Xeducation","Xgender","Xsatisfaction","Xsatisfaction2","Xservice.calls","Xtenure2","Xpurch.last.month","Xmonthly.charges","time"
0,"Bachelor's Degree","F",1,3,0,9,0,4.86108949394847,9
0,"Bachelor's Degree","M",3,4,0,12,1,30.9573625456977,12
1,"Bachelor's Degree","M",4,6,0,12,1,172.293219013231,12
0,"Bachelor's Degree","M",1,5,1,11,0,78.0795010576768,11
1,"Bachelor's Degree","M",5,5,0,5,10,214.087898490988,5
0,"Bachelor's Degree","M",1,2,0,3,1,38.7568129661317,3
0,"Bachelor's Degree","M",4,1,0,5,1,103.022841566657,5
0,"Bachelor's Degree","M",2,2,0,5,1,29.1064697210451,5
1,"Master's Degree","F",4,4,1,7,1,381.824606295184,7
0,"Bachelor's Degree","F",2,2,1,7,1,17.1989189767307,7
1,"Bachelor's Degree","M",4,5,0,7,1,124.561607512462,7
1,"Master's Degree","F",1,5,0,9,1,300.51992170958,9
1,"Bachelor's Degree","M",3,2,0,10,1,311.629314772833,10
1,"Bachelor's Degree","F",1,5,0,7,1,295.502907948208,7
1,"Bachelor's Degree","F",2,3,2,6,1,72.3552475340524,6
1,"Bachelor's Degree","M",5,2,0,8,1,190.459122600024,8
0,"Bachelor's Degree","F",2,4,0,8,1,118.94519099538,8
0,"Master's Degree","M",3,3,0,9,1,115.098474878092,9
1,"Bachelor's Degree","M",1,2,0,8,1,257.297662084785,8
1,"Bachelor's Degree","M",1,3,0,12,3,199.083317510085,12
1,"Bachelor's Degree","M",1,4,0,12,1,356.149222456013,12
0,"Master's Degree","M",3,2,0,10,1,134.705099093686,10
1,"Doctorate Degree","F",5,3,0,10,1,283.855104997279,10
0,"Bachelor's Degree","M",5,4,0,12,3,61.3205582252049,12
1,"Bachelor's Degree","M",2,5,0,11,1,249.371406446878,11
1,"Bachelor's Degree","M",1,6,0,11,1,183.608653734445,11
0,"Bachelor's Degree","M",5,5,0,12,3,66.9913154569304,12
0,"Bachelor's Degree","F",NA,5,0,8,1,71.9345045073832,8
0,"Bachelor's Degree","M",3,2,0,8,3,55.1005815986845,8
0,"Master's Degree","M",2,4,0,9,1,143.246272528751,9
0,"Bachelor's Degree","M",5,4,0,9,3,78.9137911289419,9
0,"Bachelor's Degree","F",4,2,0,6,0,120.855621462191,6
0,"Bachelor's Degree","F",5,3,0,6,1,87.7060342501586,6
1,"Master's Degree","M",2,NA,0,10,1,161.585528123628,10
1,"Bachelor's Degree","M",3,2,0,11,1,201.361846656961,11
1,"Bachelor's Degree","M",5,4,0,7,1,277.390800122331,7
0,"Bachelor's Degree","M",2,2,1,7,1,89.3291089518481,7
0,"Bachelor's Degree","F",4,1,0,10,1,16.1324330116391,10
1,"Bachelor's Degree","F",3,4,1,12,1,305.394789584794,12
1,"Bachelor's Degree","M",1,4,0,10,1,235.851776065202,10
0,"Bachelor's Degree","M",5,1,0,12,0,208.292281374279,12
0,"Master's Degree","M",4,2,0,11,3,63.4560564459255,11
0,"Doctorate Degree","M",2,5,0,11,0,35.4484954615084,11
0,"Bachelor's Degree","F",5,4,0,8,1,80.512461506225,8
0,"Bachelor's Degree","F",3,1,0,11,3,134.705099093686,11
1,"Bachelor's Degree","F",5,3,0,10,1,234.348094068651,10
0,"Bachelor's Degree","M",5,3,2,10,3,44.9331615025675,10
0,"Bachelor's Degree","M",3,2,0,11,1,19.6737987563441,11
0,"Bachelor's Degree","F",4,2,1,7,1,139.569623151573,7
1,"Bachelor's Degree","M",1,5,0,8,1,270.468501518949,8
1,"Bachelor's Degree","M",5,2,1,11,1,192.975636813752,11
1,"Bachelor's Degree","M",4,2,0,11,1,227.841684802649,11
0,"Bachelor's Degree","M",1,2,0,11,3,45.694039956993,11
1,"Doctorate Degree","M",2,2,0,3,1,135.765793668931,3
1,"Master's Degree","M",2,3,5,10,10,197.920902419222,10
0,"Bachelor's Degree","M",3,4,1,6,1,34.7123247522621,6
1,"Bachelor's Degree","M",NA,2,0,7,1,123.644953975361,7
0,"Bachelor's Degree","F",5,2,0,1,1,45.694039956993,1
0,"Bachelor's Degree","M",2,4,0,9,1,111.42078932269,9
0,"Bachelor's Degree","M",4,4,1,11,3,120.75134034825,11
1,"Master's Degree","F",4,5,0,7,1,180.426598617097,7
1,"Bachelor's Degree","M",3,5,1,12,1,94.3032453490834,12
1,"Bachelor's Degree","M",5,NA,2,12,1,190.459122600024,12
0,"Bachelor's Degree","M",2,3,0,6,1,152.546290582436,6
0,"Bachelor's Degree","F",3,2,0,12,1,118.696187000644,12
0,"Master's Degree","M",4,4,0,12,3,54.9403163357581,12
0,"Bachelor's Degree","M",3,5,0,11,1,38.7568129661317,11
1,"Bachelor's Degree","F",3,2,0,9,1,193.959811081405,9
0,"Bachelor's Degree","F",4,1,1,9,1,157.73049203384,9
0,"Bachelor's Degree","M",3,2,0,8,1,79.2874578371061,8
0,"Master's Degree","M",3,5,1,7,3,33.3531779032658,7
1,"Master's Degree","M",1,6,0,5,1,216.713574121833,5
0,"Bachelor's Degree","F",5,5,0,10,1,67.8003250798231,10
0,"Bachelor's Degree","M",2,3,0,5,3,79.9220427186514,5
1,"Master's Degree","M",4,3,1,10,1,186.21918465052,10
0,"Master's Degree","M",1,4,0,10,1,54.5897017530175,10
0,"Master's Degree","M",4,5,0,11,3,132.341892411666,11
1,"Bachelor's Degree","M",1,3,0,12,1,246.872002297916,12
0,"Bachelor's Degree","M",5,2,0,7,3,158.768103745758,7
1,"Bachelor's Degree","M",3,5,0,12,1,165.689244542666,12
1,"Bachelor's Degree","F",2,2,0,10,1,175.794258738915,10
0,"Bachelor's Degree","M",3,5,0,10,3,78.9351683513544,10
0,"Bachelor's Degree","M",4,4,0,6,0,75.77335065367,6
0,"Bachelor's Degree","M",4,3,0,12,1,110.200170385583,12
0,"Bachelor's Degree","F",4,2,0,10,1,134.705099093686,10
0,"Master's Degree","F",4,5,0,7,3,117.7593726684,7
1,"Master's Degree","M",3,5,0,9,1,141.710432471608,9
0,"Bachelor's Degree","M",5,3,4,7,1,59.9780199817396,7
1,"Bachelor's Degree","M",2,3,0,6,1,241.238914329234,6
0,"Bachelor's Degree","M",1,4,0,5,0,173.481565740957,5
1,"Bachelor's Degree","M",4,6,1,5,1,227.726464287371,5
0,"Bachelor's Degree","M",5,3,0,8,1,111.328912922056,8
1,"Master's Degree","M",1,5,1,2,1,146.41973518661,2
1,"Bachelor's Degree","M",1,2,0,10,1,89.1052025539194,10
0,"Bachelor's Degree","F",5,2,2,7,3,145.635155447409,7
0,"Bachelor's Degree","M",5,4,2,12,1,4.86108949394847,12
1,"Bachelor's Degree","M",4,3,0,10,1,254.183032029097,10
0,"Bachelor's Degree","M",4,1,0,2,1,31.6365221014831,2
1,"Bachelor's Degree","M",1,4,1,5,1,232.952758020758,5
0,"Bachelor's Degree","M",2,4,0,5,1,59.9720150468051,5
0,"Bachelor's Degree","M",4,3,2,9,1,185.303155048612,9
0,"Bachelor's Degree","M",4,4,0,10,1,65.1970460028426,10
1,"Bachelor's Degree","M",2,2,0,11,1,257.005348671617,11
1,"Bachelor's Degree","F",NA,2,0,6,1,245.931023620886,6
0,"Bachelor's Degree","M",4,4,0,11,1,136.143883611102,11
1,"Bachelor's Degree","M",2,3,2,12,1,201.018319823977,12
1,"Master's Degree","M",1,4,0,9,1,150.349937286443,9
1,"Bachelor's Degree","M",4,6,0,8,1,156.610241978076,8
0,"Bachelor's Degree","M",1,3,0,12,3,39.1201398368509,12
1,"Bachelor's Degree","M",5,3,1,5,1,301.455877765802,5
0,"Bachelor's Degree","M",4,4,0,8,3,43.7241850751833,8
0,"Bachelor's Degree","F",4,5,2,11,3,8.7358645487286,11
1,"Bachelor's Degree","M",2,6,0,11,1,228.83338774524,11
1,"Bachelor's Degree","M",5,5,0,4,1,253.570589510024,4
1,"Bachelor's Degree","M",2,5,0,3,1,190.459122600024,3
0,"Bachelor's Degree","M",3,1,0,8,0,77.2246864054272,8
1,"Bachelor's Degree","M",1,6,0,8,1,203.542056634294,8
0,"Bachelor's Degree","F",3,5,4,9,1,58.543524806156,9
0,"Bachelor's Degree","M",4,1,1,5,3,83.8805094627579,5
1,"Bachelor's Degree","M",5,6,0,12,1,240.563630455621,12
0,"Bachelor's Degree","M",4,4,0,8,1,87.5170972178156,8
0,"Bachelor's Degree","F",5,2,0,8,3,68.7455838541289,8
1,"Bachelor's Degree","F",2,2,0,10,1,357.38016696633,10
0,"Bachelor's Degree","M",5,2,0,8,1,98.576829895484,8
0,"Bachelor's Degree","M",1,2,0,9,1,45.3509462998448,9
1,"Bachelor's Degree","M",5,2,1,12,1,175.038222475837,12
1,"Bachelor's Degree","F",4,4,0,7,1,243.068138613493,7
0,"Bachelor's Degree","M",3,2,0,11,3,100.689619858154,11
0,"Bachelor's Degree","M",5,4,0,7,3,54.0097901706671,7
0,"Bachelor's Degree","F",4,5,0,6,0,-33.3431570822949,6
1,"Doctorate Degree","M",5,5,0,6,1,265.068104098599,6
0,"Master's Degree","F",4,4,0,11,3,132.013352391929,11
0,"Bachelor's Degree","M",5,1,0,10,3,96.6823187391845,10
1,"Bachelor's Degree","M",1,3,0,1,1,243.553582523336,1
0,"Bachelor's Degree","F",3,5,0,10,3,87.8742866187499,10
1,"Doctorate Degree","M",1,5,0,8,1,122.220759523704,8
0,"Bachelor's Degree","M",2,2,0,8,3,118.436104018661,8
1,"Master's Degree","M",2,3,0,12,1,222.14026020035,12
0,"Bachelor's Degree","F",2,5,0,9,0,67.7731434833149,9
1,"Bachelor's Degree","M",2,2,1,10,1,167.852933671326,10
0,"Bachelor's Degree","M",1,5,0,12,1,125.960025477004,12
0,"Master's Degree","M",4,5,0,3,0,106.886307255196,3
1,"Bachelor's Degree","M",2,2,0,10,1,312.131984137508,10
1,"Bachelor's Degree","M",3,2,0,12,1,136.70439960845,12
0,"Bachelor's Degree","M",2,1,0,2,1,8.79906543558054,2
1,"Bachelor's Degree","M",2,5,1,12,10,180.424484649512,12
1,"Bachelor's Degree","M",1,4,0,10,1,320.769937229321,10
1,"Bachelor's Degree","F",5,2,1,12,1,203.65313481355,12
0,"Master's Degree","F",4,5,0,5,3,99.6899461871225,5
0,"Master's Degree","F",5,4,0,12,0,142.915612117402,12
0,"Doctorate Degree","M",2,5,0,11,1,103.075664091232,11
1,"Bachelor's Degree","F",2,5,3,6,1,218.706198050782,6
0,"Bachelor's Degree","F",5,5,0,10,1,168.996706863863,10
1,"Bachelor's Degree","M",2,2,0,4,1,178.644576699433,4
0,"Bachelor's Degree","M",3,5,0,7,3,51.7749896329184,7
1,"Master's Degree","M",2,3,4,10,1,193.692902267195,10
0,"Doctorate Degree","M",4,5,1,10,3,44.4653850674157,10
0,"Bachelor's Degree","M",4,5,0,9,3,56.004810971354,9
0,"Master's Degree","F",5,5,0,12,0,69.7809184412394,12
0,"Bachelor's Degree","F",2,2,1,12,1,27.1913377191702,12
1,"Master's Degree","M",1,2,0,10,1,234.777477969817,10
0,"Bachelor's Degree","M",4,5,0,10,1,120.821581744822,10
1,"Master's Degree","M",1,3,0,9,1,171.022438478278,9
0,"Bachelor's Degree","M",1,3,0,12,3,92.049594866193,12
1,"Bachelor's Degree","M",1,5,2,7,1,34.8372638266323,7
1,"Bachelor's Degree","M",5,5,0,10,1,210.031555473223,10
0,"Bachelor's Degree","M",5,5,0,8,1,41.3123751288329,8
1,"Bachelor's Degree","M",4,2,0,10,3,117.213298407139,10
1,"Bachelor's Degree","M",5,3,3,12,10,320.769937229321,12
1,"Bachelor's Degree","M",1,4,2,10,1,276.187784267764,10
0,"Bachelor's Degree","M",5,1,0,6,1,86.3185464016818,6
1,"Bachelor's Degree","M",2,2,0,9,1,223.889095353183,9
1,"Bachelor's Degree","M",2,2,0,5,1,262.492884142959,5
1,"Bachelor's Degree","M",3,2,0,8,1,290.980200442959,8
0,"Bachelor's Degree","M",3,3,0,11,1,131.02166085338,11
1,"Bachelor's Degree","M",4,2,1,12,1,267.476672257942,12
0,"Bachelor's Degree","M",3,5,0,8,1,64.6312902552275,8
0,"Bachelor's Degree","F",2,5,0,8,1,87.8742866187499,8
0,"Bachelor's Degree","M",2,5,0,8,3,17.1000733921268,8
0,"Bachelor's Degree","M",5,5,0,11,3,67.2048261935624,11
0,"Bachelor's Degree","F",5,1,0,8,3,25.1920254867662,8
0,"Master's Degree","F",3,2,0,10,0,85.7109043198097,10
0,"Bachelor's Degree","M",4,4,0,6,3,109.276361998319,6
1,"Bachelor's Degree","M",2,4,0,7,1,81.1475703054806,7
1,"Bachelor's Degree","M",4,2,1,11,1,169.3541070356,11
1,"Master's Degree","F",2,5,0,8,1,203.760508815367,8
0,"Bachelor's Degree","M",3,2,0,11,3,111.42078932269,11
0,"Bachelor's Degree","M",4,5,2,8,1,140.959841799208,8
1,"Bachelor's Degree","M",2,6,0,4,1,222.985657181636,4
0,"Bachelor's Degree","M",3,3,0,4,3,31.3815411227299,4
1,"Bachelor's Degree","M",2,6,1,8,1,96.9297215381414,8
1,"Bachelor's Degree","F",4,2,1,2,1,200.411039269757,2
0,"Bachelor's Degree","M",3,3,0,12,0,55.3784635934412,12
1,"Bachelor's Degree","M",3,3,0,4,1,204.483555759362,4
1,"Bachelor's Degree","M",2,3,0,12,1,172.073842895407,12
1,"Bachelor's Degree","M",2,5,3,9,1,235.180400294448,9
0,"Bachelor's Degree","M",2,5,0,8,3,43.9501965711111,8
1,"Bachelor's Degree","M",4,6,1,5,1,352.207112348734,5
0,"Bachelor's Degree","M",3,4,4,6,1,7.62112367411541,6
1,"Bachelor's Degree","M",5,4,0,8,1,180.426598617097,8
1,"Master's Degree","F",1,3,0,9,1,275.506149147383,9
0,"Master's Degree","M",5,2,1,12,3,-16.5021846158739,12
0,"Bachelor's Degree","M",3,5,0,6,3,4.092918107185,6
0,"Doctorate Degree","M",3,1,0,5,3,55.8957457098565,5
0,"Bachelor's Degree","M",3,4,0,11,1,102.922433469244,11
0,"Bachelor's Degree","M",5,5,0,3,3,-24.2013916961357,3
0,"Doctorate Degree","M",5,2,0,7,0,-4.56682647362923,7
1,"Doctorate Degree","M",1,2,0,9,1,51.5147456147524,9
0,"Bachelor's Degree","M",1,3,0,12,3,-30.0091086212565,12
1,"Bachelor's Degree","M",2,3,1,11,1,86.3686011222464,11
0,"Bachelor's Degree","F",4,4,0,12,3,40.972514284755,12
0,"Bachelor's Degree","M",2,3,0,5,1,110.070502418448,5
0,"Bachelor's Degree","M",2,2,0,6,1,74.653458004099,6
1,"Bachelor's Degree","M",3,5,0,2,1,209.582094708894,2
0,"Bachelor's Degree","M",1,5,0,10,1,84.9580199805754,10
0,"Bachelor's Degree","M",4,5,0,8,1,44.477515439691,8
1,"Master's Degree","F",1,2,1,12,1,257.005348671617,12
1,"Bachelor's Degree","M",4,5,1,8,1,257.100593922039,8
1,"Bachelor's Degree","M",5,2,0,9,3,161.441383547247,9
0,"Bachelor's Degree","M",3,5,0,12,0,110.200170385583,12
0,"Bachelor's Degree","M",2,5,0,11,1,33.2304220802096,11
0,"Master's Degree","M",2,2,0,11,1,154.652079944986,11
0,"Bachelor's Degree","M",4,4,2,10,1,61.645030940207,10
0,"Master's Degree","M",5,4,2,6,1,171.976989076357,6
0,"Bachelor's Degree","F",3,3,0,8,1,77.3641162410075,8
1,"Bachelor's Degree","M",5,3,0,8,1,327.31940726027,8
0,"Bachelor's Degree","F",1,5,0,12,3,82.220676691399,12
0,"Bachelor's Degree","M",1,4,3,10,1,132.544493861429,10
1,"Bachelor's Degree","M",4,6,0,9,1,218.825006955736,9
1,"Master's Degree","M",4,3,0,5,3,162.158267271601,5
0,"Bachelor's Degree","M",1,1,0,11,1,20.3372474978305,11
1,"Bachelor's Degree","F",3,6,0,10,1,373.475872790728,10
1,"Bachelor's Degree","M",1,5,0,8,1,118.499144663588,8
0,"Bachelor's Degree","F",5,1,0,8,3,57.7422023295795,8
0,"Master's Degree","M",1,1,0,10,1,138.02556983299,10
0,"Bachelor's Degree","M",1,1,0,12,1,39.075063399621,12
1,"Bachelor's Degree","F",5,4,0,6,1,153.697525195416,6
1,"Master's Degree","M",5,6,4,12,1,241.010889181157,12
1,"Bachelor's Degree","F",4,3,0,10,1,278.557430933721,10
1,"Bachelor's Degree","M",3,NA,0,5,1,90.3271675198651,5
0,"Bachelor's Degree","F",3,4,3,12,1,139.582558577244,12
0,"Bachelor's Degree","M",2,5,0,7,1,80.3395592446543,7
1,"Bachelor's Degree","M",5,3,0,10,1,360.028164648946,10
0,"Bachelor's Degree","F",3,5,2,3,3,66.7254207851968,3
0,"Master's Degree","M",4,2,0,12,1,136.158866230699,12
1,"Doctorate Degree","M",1,3,0,12,1,291.212297860321,12
1,"Bachelor's Degree","M",3,2,0,2,1,142.558106021006,2
0,"Bachelor's Degree","M",2,2,0,10,1,171.976989076357,10
0,"Master's Degree","M",1,2,0,8,1,12.4092385431115,8
0,"Bachelor's Degree","M",2,4,0,8,3,161.435731606831,8
1,"Bachelor's Degree","F",1,4,0,8,1,294.053467809328,8
0,"Bachelor's Degree","F",3,5,0,5,1,122.260989338152,5
0,"Doctorate Degree","M",1,5,1,12,3,84.9343658202042,12
0,"Bachelor's Degree","M",1,4,0,7,1,141.010370009917,7
1,"Bachelor's Degree","F",4,5,0,9,1,157.563716328577,9
1,"Master's Degree","M",4,3,3,10,1,101.403594500933,10
1,"Master's Degree","M",2,3,0,6,10,125.655812929638,6
1,"Bachelor's Degree","M",4,5,1,11,1,283.419474753149,11
0,"Bachelor's Degree","F",4,4,0,9,1,49.6674796069318,9
1,"Bachelor's Degree","M",5,NA,0,8,1,168.47961600009,8
0,"Bachelor's Degree","F",1,4,0,9,1,82.9495450835439,9
0,"Bachelor's Degree","F",1,2,0,10,1,-10.2090646050907,10
0,"Bachelor's Degree","M",3,4,2,9,3,57.2980040114461,9
1,"Bachelor's Degree","M",2,5,0,4,1,251.937492077292,4
1,"Bachelor's Degree","F",1,2,0,7,1,259.930234983625,7
1,"Bachelor's Degree","M",1,5,0,11,1,291.764638012669,11
1,"Bachelor's Degree","M",2,3,0,3,1,185.396310104986,3
0,"Bachelor's Degree","M",3,2,0,11,3,129.860710218973,11
1,"Master's Degree","M",1,5,4,6,1,233.879492784407,6
0,"Bachelor's Degree","F",2,5,0,12,1,106.511060347367,12
0,"Bachelor's Degree","M",5,5,0,7,1,107.875924809209,7
1,"Bachelor's Degree","M",1,3,0,5,1,211.151869682738,5
1,"Bachelor's Degree","M",5,6,3,11,1,253.570589510024,11
1,"Bachelor's Degree","M",3,3,1,3,1,267.259017868245,3
0,"Bachelor's Degree","F",2,4,3,12,1,17.7094841525186,12
1,"Bachelor's Degree","M",2,2,0,11,1,198.140123125853,11
0,"Bachelor's Degree","F",5,4,0,10,1,101.931092497348,10
0,"Bachelor's Degree","M",4,5,0,5,3,36.8111578165266,5
0,"Master's Degree","M",4,5,0,8,1,68.7172237076293,8
1,"Bachelor's Degree","M",5,2,0,12,1,159.963634532085,12
1,"Bachelor's Degree","F",2,6,2,10,1,246.970833358115,10
0,"Bachelor's Degree","F",4,1,0,11,1,-42.1959235186671,11
1,"Master's Degree","M",1,4,0,9,1,166.188410133212,9
1,"Bachelor's Degree","M",4,3,1,3,3,150.349937286443,3
1,"Bachelor's Degree","M",2,3,0,2,1,296.299266769716,2
0,"Bachelor's Degree","M",5,2,0,9,1,63.1118446577723,9
1,"Bachelor's Degree","M",1,3,1,12,1,213.254078886501,12
0,"Master's Degree","M",1,4,0,8,1,140.959841799208,8
1,"Bachelor's Degree","M",3,3,0,12,1,126.110143784675,12
1,"Master's Degree","F",1,2,0,10,1,212.742492010171,10
1,"Bachelor's Degree","F",1,3,0,7,3,211.386214592911,7
1,"Bachelor's Degree","M",2,2,0,10,1,155.592709881165,10
0,"Bachelor's Degree","M",5,4,0,12,3,36.5056570520199,12
1,"Bachelor's Degree","M",5,3,0,7,1,233.959066177316,7
0,"Bachelor's Degree","M",4,4,0,10,3,11.6392642274891,10
1,"Bachelor's Degree","M",5,5,0,6,1,295.502907948208,6
0,"Doctorate Degree","M",5,5,0,8,0,87.7060342501586,8
0,"Bachelor's Degree","M",2,2,1,7,3,141.010370009917,7
0,"Master's Degree","M",5,3,0,11,3,155.109029447186,11
0,"Bachelor's Degree","M",4,1,0,11,3,84.1509406639704,11
1,"Bachelor's Degree","M",1,5,0,6,1,291.212297860321,6
1,"Bachelor's Degree","M",1,6,0,10,1,58.3323343704759,10
0,"Master's Degree","M",4,5,2,6,3,-5.71561679146137,6
1,"Master's Degree","M",1,2,0,8,3,222.104223176069,8
1,"Bachelor's Degree","F",2,6,0,10,1,309.6163850726,10
1,"Master's Degree","M",4,4,1,11,1,342.524249284423,11
0,"Bachelor's Degree","M",2,5,0,10,3,51.7227956484175,10
0,"Bachelor's Degree","M",2,5,1,12,3,136.143883611102,12
1,"Master's Degree","F",1,2,2,8,1,216.515676806645,8
0,"Bachelor's Degree","M",3,2,0,9,1,60.2010572000651,9
0,"Bachelor's Degree","F",4,5,0,7,0,80.0543954438959,7
1,"Bachelor's Degree","M",1,2,0,11,1,214.628194731506,11
0,"Bachelor's Degree","M",5,3,0,9,3,67.7731434833149,9
0,"Bachelor's Degree","M",1,NA,0,12,1,67.2258114124486,12
1,"Bachelor's Degree","F",1,3,0,5,1,150.930925935747,5
1,"Bachelor's Degree","M",3,2,0,3,1,200.055171849442,3
1,"Doctorate Degree","M",4,5,0,12,1,312.488113447991,12
1,"Bachelor's Degree","M",2,5,0,7,1,314.474803921874,7
1,"Bachelor's Degree","M",3,3,0,8,1,200.185417488802,8
0,"Master's Degree","M",5,5,1,8,3,72.2566918835021,8
0,"Bachelor's Degree","M",5,4,0,8,1,145.635155447409,8
0,"Bachelor's Degree","M",4,5,0,11,3,76.9014186435828,11
0,"Bachelor's Degree","M",4,5,0,12,1,70.6380742296593,12
0,"Master's Degree","M",1,2,0,11,1,101.198160072048,11
1,"Bachelor's Degree","M",2,3,0,1,1,204.750683227413,1
0,"Bachelor's Degree","M",5,5,0,12,1,7.43784485735662,12
0,"Bachelor's Degree","M",3,3,0,5,1,36.8111578165266,5
1,"Bachelor's Degree","M",3,4,0,8,3,292.9351893289,8
1,"Bachelor's Degree","M",5,4,2,8,1,193.959811081405,8
1,"Bachelor's Degree","M",4,3,0,6,1,267.259017868245,6
1,"Bachelor's Degree","M",2,5,1,10,1,268.378468002473,10
1,"Master's Degree","M",2,3,4,12,3,381.824606295184,12
0,"Bachelor's Degree","F",1,2,0,1,1,77.0172475991952,1
0,"Bachelor's Degree","M",2,2,0,1,1,-19.9093415246801,1
1,"Bachelor's Degree","M",2,6,0,2,1,232.473078110945,2
1,"Bachelor's Degree","M",5,2,0,2,3,129.33357971997,2
0,"Bachelor's Degree","F",3,4,0,8,3,54.0503172839204,8
0,"Bachelor's Degree","M",3,5,0,5,3,89.3840574669992,5
0,"Bachelor's Degree","F",4,5,1,10,1,97.8477793006164,10
1,"Master's Degree","M",1,5,4,11,1,229.173695067494,11
0,"Bachelor's Degree","M",1,5,0,9,1,31.9441604497312,9
1,"Bachelor's Degree","F",5,6,1,5,1,253.409986829359,5
1,"Bachelor's Degree","M",4,3,1,10,10,225.744670688844,10
1,"Bachelor's Degree","M",2,5,1,8,3,178.309154074626,8
0,"Bachelor's Degree","F",5,4,0,11,1,89.525861807156,11
1,"Bachelor's Degree","M",5,2,2,6,1,216.481242333031,6
0,"Bachelor's Degree","M",5,3,0,10,1,94.7955851917433,10
1,"Bachelor's Degree","M",3,2,0,6,1,216.481242333031,6
1,"Bachelor's Degree","M",5,5,0,12,1,71.8395554126464,12
1,"Bachelor's Degree","M",1,2,4,12,3,242.694227409807,12
1,"Bachelor's Degree","F",5,2,0,12,1,180.1940061734,12
0,"Doctorate Degree","F",5,2,0,8,1,27.3079659803912,8
0,"Bachelor's Degree","M",4,5,0,10,1,64.6312902552275,10
1,"Doctorate Degree","M",2,6,0,9,1,172.073842895407,9
0,"Bachelor's Degree","M",5,4,3,7,1,4.52455743168649,7
1,"Bachelor's Degree","M",2,3,0,2,3,166.176273922601,2
1,"Bachelor's Degree","F",5,3,0,4,1,227.841684802649,4
0,"Bachelor's Degree","M",1,2,0,6,1,71.2278758910288,6
1,"Doctorate Degree","M",4,4,0,8,10,84.3958892854045,8
0,"Bachelor's Degree","F",1,2,3,10,1,27.2555125263476,10
